order_id,city,order_time,delivery_time,order_status,payment_method,order_amount,delivery_fee,discount,final_amount,delivery_minutes,order_hour,order_day,order_month,is_weekend,is_peak_hour,sla_breach,weekday,order_segment,order_date
22,Delhi,2025-03-08 14:34:00,2025-03-08 15:02:00,Delivered,UPI,1880.13,12.18,219.47,1672.84,28,14,Saturday,March,True,True,False,Saturday,High Value,2025-03-08
23,Ahmedabad,2025-03-05 21:08:00,2025-03-05 21:41:00,Delivered,Wallet,2014.84,68.39,207.19,1876.04,33,21,Wednesday,March,False,True,True,Wednesday,High Value,2025-03-05
24,Pune,2025-03-11 19:21:00,2025-03-11 19:54:00,Delivered,Card,896.02,68.4,142.43,821.99,33,19,Tuesday,March,False,True,True,Tuesday,Medium Value,2025-03-11
25,Ahmedabad,2025-01-02 21:06:00,2025-01-02 21:33:00,Delivered,Wallet,875.87,30.03,96.52,809.38,27,21,Thursday,January,False,True,False,Thursday,Medium Value,2025-01-02
26,Kolkata,2025-02-16 08:20:00,2025-02-16 08:32:00,Delivered,Wallet,1085.39,44.89,184.05,946.23,12,8,Sunday,February,True,True,False,Sunday,Medium Value,2025-02-16
27,Pune,2025-01-25 14:25:00,2025-01-25 14:56:00,Delivered,Wallet,1698.44,11.45,375.0,1334.89,31,14,Saturday,January,True,True,True,Saturday,Medium Value,2025-01-25
28,Bangalore,2025-02-05 14:35:00,2025-02-05 15:00:00,Delivered,Card,227.95,41.27,5.96,263.26,25,14,Wednesday,February,False,True,False,Wednesday,Low Value,2025-02-05
29,Bangalore,2025-01-15 08:01:00,,Cancelled,UPI,1677.78,21.65,162.59,1536.84,34,8,Wednesday,January,False,True,True,Wednesday,High Value,2025-01-15
30,Mumbai,2025-04-10 10:56:00,2025-04-10 11:06:00,Delivered,Card,2423.8,23.35,433.42,2013.73,10,10,Thursday,April,False,True,False,Thursday,High Value,2025-04-10
31,Hyderabad,2025-01-22 20:11:00,2025-01-22 20:28:00,Delivered,Card,397.15,52.33,68.27,381.21,17,20,Wednesday,January,False,True,False,Wednesday,Low Value,2025-01-22
32,Mumbai,2025-02-28 20:28:00,2025-02-28 20:51:00,Delivered,UPI,1062.0,13.66,121.61,954.05,23,20,Friday,February,False,True,False,Friday,Medium Value,2025-02-28
33,Mumbai,2025-03-01 14:36:00,2025-03-01 14:59:00,Delivered,Cash on Delivery,1156.66,53.22,53.18,1156.7,23,14,Saturday,March,True,True,False,Saturday,Medium Value,2025-03-01
34,Pune,2025-04-06 21:53:00,2025-04-06 22:07:00,Delivered,UPI,1992.97,21.45,83.28,1931.14,14,21,Sunday,April,True,True,False,Sunday,High Value,2025-04-06
35,Hyderabad,2025-04-12 12:14:00,2025-04-12 12:44:00,Delivered,Card,2004.57,21.24,313.76,1712.05,30,12,Saturday,April,True,False,False,Saturday,High Value,2025-04-12
36,Delhi,2025-02-18 09:06:00,2025-02-18 09:39:00,Delivered,UPI,734.33,40.51,129.83,645.01,33,9,Tuesday,February,False,True,True,Tuesday,Medium Value,2025-02-18
37,Pune,2025-04-28 10:57:00,2025-04-28 11:29:00,Delivered,Cash on Delivery,1234.46,17.67,153.48,1098.65,32,10,Monday,April,False,True,True,Monday,Medium Value,2025-04-28
38,Mumbai,2025-04-17 16:01:00,,Cancelled,Wallet,1511.86,29.09,29.58,1511.37,25,16,Thursday,April,False,False,False,Thursday,High Value,2025-04-17
39,Ahmedabad,2025-04-08 11:45:00,2025-04-08 12:20:00,Delivered,Card,491.12,12.28,60.7,442.7,35,11,Tuesday,April,False,False,True,Tuesday,Low Value,2025-04-08
40,Hyderabad,2025-03-19 13:22:00,2025-03-19 13:40:00,Delivered,Wallet,2376.76,21.31,487.93,1910.14,18,13,Wednesday,March,False,True,False,Wednesday,High Value,2025-03-19
41,Mumbai,2025-01-08 08:01:00,,Cancelled,Cash on Delivery,2354.59,36.5,2.4,2388.69,18,8,Wednesday,January,False,True,False,Wednesday,High Value,2025-01-08
42,Pune,2025-04-01 13:50:00,2025-04-01 14:10:00,Delivered,Card,1237.24,39.97,271.13,1006.08,20,13,Tuesday,April,False,True,False,Tuesday,Medium Value,2025-04-01
43,Mumbai,2025-04-25 19:22:00,2025-04-25 19:45:00,Delivered,Card,503.92,39.03,122.42,420.53,23,19,Friday,April,False,True,False,Friday,Low Value,2025-04-25
44,Bangalore,2025-01-28 08:05:00,2025-01-28 08:24:00,Delivered,Card,1363.37,30.7,241.84,1152.23,19,8,Tuesday,January,False,True,False,Tuesday,Medium Value,2025-01-28
45,Pune,2025-04-15 16:57:00,2025-04-15 17:24:00,Delivered,Cash on Delivery,1568.09,60.89,324.14,1304.84,27,16,Tuesday,April,False,False,False,Tuesday,Medium Value,2025-04-15
46,Ahmedabad,2025-01-15 20:32:00,2025-01-15 21:03:00,Delivered,UPI,1506.31,35.38,83.51,1458.18,31,20,Wednesday,January,False,True,True,Wednesday,Medium Value,2025-01-15
47,Mumbai,2025-02-20 04:11:00,2025-02-20 04:40:00,Delivered,Cash on Delivery,645.76,56.71,41.31,661.16,29,4,Thursday,February,False,False,False,Thursday,Medium Value,2025-02-20
48,Hyderabad,2025-04-08 01:36:00,2025-04-08 01:58:00,Delivered,UPI,2271.75,27.59,281.41,2017.93,22,1,Tuesday,April,False,False,False,Tuesday,High Value,2025-04-08
49,Delhi,2025-04-15 09:16:00,2025-04-15 09:44:00,Delivered,UPI,1433.34,67.8,39.2,1461.94,28,9,Tuesday,April,False,True,False,Tuesday,Medium Value,2025-04-15
50,Pune,2025-04-16 09:05:00,2025-04-16 09:20:00,Delivered,Cash on Delivery,1646.51,54.86,50.06,1651.31,15,9,Wednesday,April,False,True,False,Wednesday,High Value,2025-04-16
51,Bangalore,2025-03-02 15:32:00,2025-03-02 15:51:00,Delivered,Card,1153.59,43.17,119.9,1076.86,19,15,Sunday,March,True,False,False,Sunday,Medium Value,2025-03-02
52,Kolkata,2025-01-28 10:18:00,2025-01-28 11:01:00,Delivered,Wallet,1609.21,28.43,401.91,1235.73,43,10,Tuesday,January,False,True,True,Tuesday,Medium Value,2025-01-28
53,Chennai,2025-02-02 13:07:00,2025-02-02 13:31:00,Delivered,Wallet,662.47,34.9,111.43,585.94,24,13,Sunday,February,True,True,False,Sunday,Medium Value,2025-02-02
54,Bangalore,2025-03-01 21:52:00,2025-03-01 22:31:00,Delivered,UPI,1764.24,69.13,121.16,1712.21,39,21,Saturday,March,True,True,True,Saturday,High Value,2025-03-01
55,Ahmedabad,2025-04-11 20:36:00,2025-04-11 20:49:00,Delivered,Cash on Delivery,505.64,52.89,88.91,469.62,13,20,Friday,April,False,True,False,Friday,Low Value,2025-04-11
56,Bangalore,2025-04-09 23:29:00,2025-04-09 23:52:00,Delivered,UPI,2107.28,31.66,374.39,1764.55,23,23,Wednesday,April,False,False,False,Wednesday,High Value,2025-04-09
57,Chennai,2025-01-02 20:49:00,2025-01-02 21:05:00,Delivered,Card,1710.29,12.99,48.67,1674.61,16,20,Thursday,January,False,True,False,Thursday,High Value,2025-01-02
58,Hyderabad,2025-03-13 13:33:00,,Cancelled,Card,1559.79,46.65,113.39,1493.05,18,13,Thursday,March,False,True,False,Thursday,Medium Value,2025-03-13
59,Ahmedabad,2025-01-02 00:12:00,2025-01-02 00:35:00,Delivered,Card,1205.39,53.18,177.45,1081.12,23,0,Thursday,January,False,False,False,Thursday,Medium Value,2025-01-02
60,Chennai,2025-03-23 21:02:00,2025-03-23 21:21:00,Delivered,Card,2211.22,37.45,59.5,2189.17,19,21,Sunday,March,True,True,False,Sunday,High Value,2025-03-23
61,Kolkata,2025-01-05 14:34:00,2025-01-05 15:03:00,Delivered,Cash on Delivery,1338.06,37.13,17.68,1357.51,29,14,Sunday,January,True,True,False,Sunday,Medium Value,2025-01-05
62,Ahmedabad,2025-04-01 20:13:00,2025-04-01 20:38:00,Delivered,Card,2485.56,18.09,474.4,2029.25,25,20,Tuesday,April,False,True,False,Tuesday,High Value,2025-04-01
63,Delhi,2025-03-22 14:54:00,,Cancelled,UPI,1441.84,30.79,212.08,1260.55,33,14,Saturday,March,True,True,True,Saturday,Medium Value,2025-03-22
64,Ahmedabad,2025-01-04 19:33:00,2025-01-04 20:02:00,Delivered,Wallet,1418.91,51.7,16.68,1453.93,29,19,Saturday,January,True,True,False,Saturday,Medium Value,2025-01-04
65,Chennai,2025-03-05 19:53:00,2025-03-05 20:21:00,Delivered,Cash on Delivery,748.95,33.41,21.35,761.01,28,19,Wednesday,March,False,True,False,Wednesday,Medium Value,2025-03-05
66,Mumbai,2025-04-13 21:45:00,2025-04-13 22:19:00,Delivered,Cash on Delivery,524.75,11.72,14.6,521.87,34,21,Sunday,April,True,True,True,Sunday,Medium Value,2025-04-13
67,Chennai,2025-04-04 02:01:00,2025-04-04 02:16:00,Delivered,Cash on Delivery,1576.61,62.79,283.24,1356.16,15,2,Friday,April,False,False,False,Friday,Medium Value,2025-04-04
68,Hyderabad,2025-02-16 05:13:00,2025-02-16 05:36:00,Delivered,Wallet,2412.79,19.58,410.99,2021.38,23,5,Sunday,February,True,False,False,Sunday,High Value,2025-02-16
69,Delhi,2025-02-10 21:12:00,2025-02-10 21:36:00,Delivered,Card,1017.36,38.3,18.75,1036.91,24,21,Monday,February,False,True,False,Monday,Medium Value,2025-02-10
70,Delhi,2025-02-28 13:25:00,2025-02-28 13:36:00,Delivered,Wallet,1324.82,32.54,291.87,1065.49,11,13,Friday,February,False,True,False,Friday,Medium Value,2025-02-28
71,Mumbai,2025-04-14 09:34:00,2025-04-14 10:09:00,Delivered,Wallet,687.23,59.41,121.86,624.78,35,9,Monday,April,False,True,True,Monday,Medium Value,2025-04-14
72,Hyderabad,2025-01-21 08:37:00,2025-01-21 08:55:00,Delivered,Card,736.7,24.81,29.79,731.72,18,8,Tuesday,January,False,True,False,Tuesday,Medium Value,2025-01-21
73,Ahmedabad,2025-03-15 09:10:00,2025-03-15 09:37:00,Delivered,Wallet,189.86,63.69,32.85,220.7,27,9,Saturday,March,True,True,False,Saturday,Low Value,2025-03-15
74,Kolkata,2025-03-06 19:34:00,2025-03-06 20:00:00,Delivered,Wallet,798.53,58.68,146.99,710.22,26,19,Thursday,March,False,True,False,Thursday,Medium Value,2025-03-06
75,Pune,2025-04-19 08:15:00,2025-04-19 08:25:00,Delivered,Card,396.25,33.69,45.01,384.93,10,8,Saturday,April,True,True,False,Saturday,Low Value,2025-04-19
76,Pune,2025-01-10 10:30:00,2025-01-10 10:49:00,Delivered,UPI,2366.86,29.24,142.55,2253.55,19,10,Friday,January,False,True,False,Friday,High Value,2025-01-10
77,Chennai,2025-03-05 08:35:00,2025-03-05 08:57:00,Delivered,UPI,722.16,55.73,123.84,654.05,22,8,Wednesday,March,False,True,False,Wednesday,Medium Value,2025-03-05
78,Mumbai,2025-03-12 08:50:00,2025-03-12 09:26:00,Delivered,Wallet,2257.02,13.94,151.34,2119.62,36,8,Wednesday,March,False,True,True,Wednesday,High Value,2025-03-12
79,Chennai,2025-04-12 09:43:00,2025-04-12 09:55:00,Delivered,Card,115.68,52.11,7.05,160.74,12,9,Saturday,April,True,True,False,Saturday,Low Value,2025-04-12
80,Ahmedabad,2025-03-14 20:51:00,2025-03-14 21:18:00,Delivered,Card,1859.47,17.12,293.07,1583.52,27,20,Friday,March,False,True,False,Friday,High Value,2025-03-14
81,Kolkata,2025-04-07 09:01:00,2025-04-07 09:30:00,Delivered,UPI,569.37,52.08,50.73,570.72,29,9,Monday,April,False,True,False,Monday,Medium Value,2025-04-07
82,Hyderabad,2025-03-27 21:06:00,2025-03-27 21:29:00,Delivered,UPI,2475.36,61.5,572.39,1964.47,23,21,Thursday,March,False,True,False,Thursday,High Value,2025-03-27
83,Ahmedabad,2025-04-12 14:47:00,2025-04-12 15:04:00,Delivered,UPI,1392.87,16.61,34.82,1374.66,17,14,Saturday,April,True,True,False,Saturday,Medium Value,2025-04-12
84,Bangalore,2025-04-06 20:39:00,2025-04-06 21:03:00,Delivered,Cash on Delivery,1846.03,37.52,233.25,1650.3,24,20,Sunday,April,True,True,False,Sunday,High Value,2025-04-06
85,Chennai,2025-02-12 08:53:00,2025-02-12 09:14:00,Delivered,UPI,1562.36,57.44,335.42,1284.38,21,8,Wednesday,February,False,True,False,Wednesday,Medium Value,2025-02-12
86,Kolkata,2025-02-27 02:26:00,2025-02-27 02:40:00,Delivered,Wallet,143.02,57.26,9.54,190.74,14,2,Thursday,February,False,False,False,Thursday,Low Value,2025-02-27
87,Kolkata,2025-01-03 19:27:00,2025-01-03 19:59:00,Delivered,Card,1828.93,14.74,374.83,1468.84,32,19,Friday,January,False,True,True,Friday,Medium Value,2025-01-03
88,Hyderabad,2025-04-19 08:50:00,2025-04-19 09:20:00,Delivered,Cash on Delivery,2294.95,17.16,79.84,2232.27,30,8,Saturday,April,True,True,False,Saturday,High Value,2025-04-19
89,Delhi,2025-03-08 01:20:00,2025-03-08 01:42:00,Delivered,Cash on Delivery,2336.48,63.88,570.71,1829.65,22,1,Saturday,March,True,False,False,Saturday,High Value,2025-03-08
90,Pune,2025-01-15 12:00:00,2025-01-15 12:45:00,Delivered,Wallet,1858.39,46.19,443.84,1460.74,45,12,Wednesday,January,False,False,True,Wednesday,Medium Value,2025-01-15
91,Kolkata,2025-04-06 10:50:00,2025-04-06 11:19:00,Delivered,Cash on Delivery,510.37,66.87,104.36,472.88,29,10,Sunday,April,True,True,False,Sunday,Low Value,2025-04-06
92,Ahmedabad,2025-01-25 08:32:00,2025-01-25 08:50:00,Delivered,Card,821.24,51.18,171.41,701.01,18,8,Saturday,January,True,True,False,Saturday,Medium Value,2025-01-25
93,Bangalore,2025-04-05 20:42:00,2025-04-05 21:15:00,Delivered,Cash on Delivery,1505.49,36.53,179.3,1362.72,33,20,Saturday,April,True,True,True,Saturday,Medium Value,2025-04-05
94,Chennai,2025-04-25 08:39:00,2025-04-25 09:09:00,Delivered,Cash on Delivery,2410.0,64.3,173.1,2301.2,30,8,Friday,April,False,True,False,Friday,High Value,2025-04-25
95,Kolkata,2025-04-03 04:51:00,,Cancelled,UPI,2328.54,61.81,403.7,1986.65,14,4,Thursday,April,False,False,False,Thursday,High Value,2025-04-03
96,Hyderabad,2025-02-26 10:50:00,2025-02-26 11:16:00,Delivered,Wallet,1044.41,53.34,205.14,892.61,26,10,Wednesday,February,False,True,False,Wednesday,Medium Value,2025-02-26
97,Chennai,2025-04-16 14:46:00,2025-04-16 15:11:00,Delivered,Card,1555.8,53.07,235.22,1373.65,25,14,Wednesday,April,False,True,False,Wednesday,Medium Value,2025-04-16
98,Delhi,2025-01-03 08:28:00,2025-01-03 08:55:00,Delivered,Wallet,2095.73,36.29,101.55,2030.47,27,8,Friday,January,False,True,False,Friday,High Value,2025-01-03
99,Pune,2025-02-06 13:47:00,2025-02-06 13:57:00,Delivered,Card,236.31,35.08,48.02,223.37,10,13,Thursday,February,False,True,False,Thursday,Low Value,2025-02-06
100,Delhi,2025-02-05 06:28:00,2025-02-05 06:43:00,Delivered,Cash on Delivery,2271.36,51.75,549.33,1773.78,15,6,Wednesday,February,False,False,False,Wednesday,High Value,2025-02-05
101,Delhi,2025-04-07 17:55:00,2025-04-07 18:09:00,Delivered,UPI,307.34,56.9,6.92,357.32,14,17,Monday,April,False,False,False,Monday,Low Value,2025-04-07
102,Ahmedabad,2025-01-22 20:27:00,2025-01-22 21:00:00,Delivered,UPI,161.83,56.89,25.73,192.99,33,20,Wednesday,January,False,True,True,Wednesday,Low Value,2025-01-22
103,Kolkata,2025-04-28 13:40:00,2025-04-28 14:01:00,Delivered,Card,2161.06,61.77,233.05,1989.78,21,13,Monday,April,False,True,False,Monday,High Value,2025-04-28
104,Chennai,2025-03-01 20:42:00,2025-03-01 20:53:00,Delivered,Cash on Delivery,2206.1,36.7,493.34,1749.46,11,20,Saturday,March,True,True,False,Saturday,High Value,2025-03-01
105,Bangalore,2025-01-11 05:44:00,2025-01-11 06:12:00,Delivered,UPI,105.9,60.3,1.72,164.48,28,5,Saturday,January,True,False,False,Saturday,Low Value,2025-01-11
106,Pune,2025-02-10 13:55:00,,Cancelled,Cash on Delivery,1584.53,32.44,343.24,1273.73,17,13,Monday,February,False,True,False,Monday,Medium Value,2025-02-10
107,Chennai,2025-01-26 13:23:00,,Cancelled,UPI,1308.99,41.71,256.86,1093.84,20,13,Sunday,January,True,True,False,Sunday,Medium Value,2025-01-26
108,Mumbai,2025-01-25 21:36:00,2025-01-25 21:53:00,Delivered,Wallet,978.01,50.53,53.43,975.11,17,21,Saturday,January,True,True,False,Saturday,Medium Value,2025-01-25
109,Kolkata,2025-02-03 08:45:00,2025-02-03 08:55:00,Delivered,Cash on Delivery,615.14,25.02,152.21,487.95,10,8,Monday,February,False,True,False,Monday,Low Value,2025-02-03
110,Mumbai,2025-01-03 14:00:00,2025-01-03 14:26:00,Delivered,Wallet,418.73,24.95,33.73,409.95,26,14,Friday,January,False,True,False,Friday,Low Value,2025-01-03
111,Bangalore,2025-03-01 21:23:00,2025-03-01 21:50:00,Delivered,Wallet,266.28,37.17,49.73,253.72,27,21,Saturday,March,True,True,False,Saturday,Low Value,2025-03-01
112,Pune,2025-02-23 19:33:00,2025-02-23 19:44:00,Delivered,Cash on Delivery,918.84,43.66,220.64,741.86,11,19,Sunday,February,True,True,False,Sunday,Medium Value,2025-02-23
113,Mumbai,2025-04-24 14:12:00,2025-04-24 14:32:00,Delivered,Card,2397.88,54.51,451.06,2001.33,20,14,Thursday,April,False,True,False,Thursday,High Value,2025-04-24
114,Hyderabad,2025-01-25 13:29:00,2025-01-25 14:01:00,Delivered,UPI,494.94,66.58,76.13,485.39,32,13,Saturday,January,True,True,True,Saturday,Low Value,2025-01-25
115,Mumbai,2025-02-26 03:46:00,2025-02-26 04:04:00,Delivered,Cash on Delivery,766.97,16.86,64.86,718.97,18,3,Wednesday,February,False,False,False,Wednesday,Medium Value,2025-02-26
116,Delhi,2025-02-01 20:21:00,2025-02-01 20:46:00,Delivered,Card,1736.33,38.24,193.59,1580.98,25,20,Saturday,February,True,True,False,Saturday,High Value,2025-02-01
117,Chennai,2025-02-16 20:08:00,2025-02-16 20:33:00,Delivered,UPI,1221.01,59.95,254.57,1026.39,25,20,Sunday,February,True,True,False,Sunday,Medium Value,2025-02-16
118,Kolkata,2025-04-09 13:26:00,2025-04-09 13:58:00,Delivered,Card,2186.92,67.43,357.97,1896.38,32,13,Wednesday,April,False,True,True,Wednesday,High Value,2025-04-09
119,Pune,2025-02-15 19:26:00,,Cancelled,Cash on Delivery,1990.97,66.44,23.37,2034.04,30,19,Saturday,February,True,True,False,Saturday,High Value,2025-02-15
120,Bangalore,2025-01-13 10:40:00,2025-01-13 11:10:00,Delivered,Card,662.02,33.45,2.93,692.54,30,10,Monday,January,False,True,False,Monday,Medium Value,2025-01-13
121,Bangalore,2025-04-01 12:52:00,2025-04-01 13:13:00,Delivered,Wallet,2357.97,12.9,14.79,2356.08,21,12,Tuesday,April,False,False,False,Tuesday,High Value,2025-04-01
122,Ahmedabad,2025-02-02 03:56:00,2025-02-02 04:09:00,Delivered,Wallet,449.51,40.09,12.03,477.57,13,3,Sunday,February,True,False,False,Sunday,Low Value,2025-02-02
123,Kolkata,2025-02-23 10:07:00,2025-02-23 10:35:00,Delivered,UPI,210.93,21.25,45.61,186.57,28,10,Sunday,February,True,True,False,Sunday,Low Value,2025-02-23
124,Kolkata,2025-03-07 20:55:00,2025-03-07 21:28:00,Delivered,Card,2471.92,60.81,225.72,2307.01,33,20,Friday,March,False,True,True,Friday,High Value,2025-03-07
125,Kolkata,2025-03-12 15:58:00,2025-03-12 16:14:00,Delivered,Cash on Delivery,634.04,38.45,89.56,582.93,16,15,Wednesday,March,False,False,False,Wednesday,Medium Value,2025-03-12
126,Chennai,2025-02-15 08:31:00,2025-02-15 08:46:00,Delivered,Wallet,1900.94,63.63,131.75,1832.82,15,8,Saturday,February,True,True,False,Saturday,High Value,2025-02-15
127,Ahmedabad,2025-04-17 09:27:00,2025-04-17 09:51:00,Delivered,Card,1210.3,21.33,56.63,1175.0,24,9,Thursday,April,False,True,False,Thursday,Medium Value,2025-04-17
128,Chennai,2025-01-04 19:34:00,2025-01-04 19:52:00,Delivered,UPI,488.75,31.5,48.16,472.09,18,19,Saturday,January,True,True,False,Saturday,Low Value,2025-01-04
129,Mumbai,2025-03-04 10:36:00,2025-03-04 10:53:00,Delivered,UPI,1923.4,49.82,233.01,1740.21,17,10,Tuesday,March,False,True,False,Tuesday,High Value,2025-03-04
130,Delhi,2025-04-18 10:10:00,2025-04-18 10:47:00,Delivered,UPI,1728.48,24.52,388.64,1364.36,37,10,Friday,April,False,True,True,Friday,Medium Value,2025-04-18
131,Mumbai,2025-03-18 06:56:00,2025-03-18 07:22:00,Delivered,Wallet,443.78,34.22,1.47,476.53,26,6,Tuesday,March,False,False,False,Tuesday,Low Value,2025-03-18
132,Kolkata,2025-03-09 03:04:00,2025-03-09 03:43:00,Delivered,UPI,487.28,37.39,96.32,428.35,39,3,Sunday,March,True,False,True,Sunday,Low Value,2025-03-09
133,Pune,2025-02-28 14:42:00,2025-02-28 14:52:00,Delivered,Wallet,457.14,11.86,9.45,459.55,10,14,Friday,February,False,True,False,Friday,Low Value,2025-02-28
134,Kolkata,2025-04-24 08:04:00,2025-04-24 08:38:00,Delivered,Card,2471.69,44.96,253.52,2263.13,34,8,Thursday,April,False,True,True,Thursday,High Value,2025-04-24
135,Kolkata,2025-03-16 08:53:00,2025-03-16 09:06:00,Delivered,Cash on Delivery,916.21,50.1,111.98,854.33,13,8,Sunday,March,True,True,False,Sunday,Medium Value,2025-03-16
136,Hyderabad,2025-04-09 02:25:00,2025-04-09 02:46:00,Delivered,Card,536.96,37.43,81.33,493.06,21,2,Wednesday,April,False,False,False,Wednesday,Low Value,2025-04-09
137,Pune,2025-01-05 04:47:00,2025-01-05 05:08:00,Delivered,Card,991.35,11.66,234.1,768.91,21,4,Sunday,January,True,False,False,Sunday,Medium Value,2025-01-05
138,Bangalore,2025-04-19 21:32:00,2025-04-19 22:01:00,Delivered,Card,848.35,33.04,99.99,781.4,29,21,Saturday,April,True,True,False,Saturday,Medium Value,2025-04-19
139,Delhi,2025-03-27 19:09:00,2025-03-27 19:33:00,Delivered,Card,1674.23,56.89,140.41,1590.71,24,19,Thursday,March,False,True,False,Thursday,High Value,2025-03-27
140,Ahmedabad,2025-02-21 13:25:00,2025-02-21 14:02:00,Delivered,Wallet,850.83,12.73,129.82,733.74,37,13,Friday,February,False,True,True,Friday,Medium Value,2025-02-21
141,Mumbai,2025-01-04 10:24:00,2025-01-04 10:51:00,Delivered,UPI,1930.5,69.25,93.4,1906.35,27,10,Saturday,January,True,True,False,Saturday,High Value,2025-01-04
142,Delhi,2025-04-21 13:25:00,,Cancelled,UPI,1483.29,19.22,204.55,1297.96,16,13,Monday,April,False,True,False,Monday,Medium Value,2025-04-21
143,Hyderabad,2025-03-19 19:17:00,2025-03-19 19:46:00,Delivered,Cash on Delivery,1873.86,52.99,21.86,1904.99,29,19,Wednesday,March,False,True,False,Wednesday,High Value,2025-03-19
144,Delhi,2025-02-09 21:20:00,2025-02-09 21:56:00,Delivered,Wallet,1089.97,26.18,94.4,1021.75,36,21,Sunday,February,True,True,True,Sunday,Medium Value,2025-02-09
145,Chennai,2025-02-22 19:19:00,2025-02-22 19:40:00,Delivered,UPI,1272.38,10.97,283.8,999.55,21,19,Saturday,February,True,True,False,Saturday,Medium Value,2025-02-22
146,Chennai,2025-03-10 09:25:00,2025-03-10 10:00:00,Delivered,Wallet,1835.75,34.3,316.71,1553.34,35,9,Monday,March,False,True,True,Monday,High Value,2025-03-10
